attack_folder,ids_sequence
100,"T1071.001, T1204.002, T1071.001, T1059.001, T1082, T1087.001, T1069.002, T1059.003, T1053.005, T1106, T1074.001, T1113, T1005, T1548.002, T1071.001, T1059.001, T1562.001, T1059.003, T1562.009, T1112, T1490, T1112, T1562.001, T1112"
101,"T1071.001, T1204.002, T1071.001, T1083, T1059.003, T1018, T1059.001, T1082, T1547.001, T1005, T1106, T1074.001, T1113, T1548.002, T1071.001, T1059.003, T1112, T1562.001, T1059.001, T1562.001, T1562.001, T1562.009, T1112, T1112"
102,"T1071.001, T1566.002, T1204.002, T1071.001, T1083, T1049, T1059.001, T1082, T1134, T1059.003, T1547.001, T1005, T1106, T1560, T1113, T1112, T1112, T1562.009, T1059.001, T1562.001, T1112, T1112, T1562.001"
103,"T1071.001, T1566.002, T1204.002, T1071.001, T1071.001, T1566.002, T1059.001, T1547.001, T1005, T1106, T1074.001, T1113, T1071.001, T1134, T1059.003, T1490, T1112, T1112, T1562.009, T1112, T1204.002, T1566.002, T1566.002, T1071.001, T1071.001, T1566.002, T1059.003, T1071.001, T1059.001, T1562.001, T1562.001"
104,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.001, T1082, T1057, T1059.003, T1069.001, T1005, T1071.001, T1204.002, T1547.001, T1005, T1106, T1074.001, T1113, T1548.002, T1071.001, T1059.003, T1112, T1112, T1112, T1059.001, T1562.001, T1562.001, T1112, T1562.009"
105,"T1071.001, T1566.002, T1204.002, T1071.001, T1087.001, T1059.001, T1082, T1083, T1071.001, T1566.002, T1547.001, T1113, T1106, T1074.001, T1005, T1134, T1059.003, T1562.001, T1112, T1562.001, T1112, T1112, T1112, T1112"
106,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1018, T1059.001, T1057, T1071.001, T1566.002, T1547.001, T1106, T1074.001, T1113, T1005, T1134, T1059.003, T1490, T1059.001, T1562.001, T1112, T1112, T1562.009, T1112"
107,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1083, T1018, T1083, T1071.001, T1566.002, T1059.001, T1547.004, T1106, T1074.001, T1113, T1005, T1071.001, T1134, T1059.003, T1490, T1059.001, T1562.001, T1112, T1112, T1562.009, T1112, T1112"
108,"T1071.001, T1204.002, T1071.001, T1087.001, T1018, T1059.001, T1057, T1547.004, T1106, T1074.001, T1113, T1005, T1134, T1059.003, T1490, T1562.001, T1112, T1112, T1562.009, T1112, T1112"
109,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1087.001, T1018, T1059.001, T1057, T1071.001, T1566.002, T1547.004, T1106, T1074.001, T1113, T1005, T1071.001, T1134, T1059.003, T1490, T1562.001, T1112, T1112, T1562.009, T1112, T1112"
10_RoyalRansomware,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1087.001, T1083, T1071.001, T1566.002, T1059.003, T1547.001, T1059.001, T1005, T1106, T1074.001, T1113, T1134, T1059.003, T1490, T1112, T1562.001, T1562.001, T1562.009, T1059.001, T1562.001"
110,"T1071.001, T1566.002, T1204.002, T1071.001, T1059.001, T1082, T1018, T1057, T1071.001, T1566.002, T1547.001, T1106, T1560, T1113, T1005, T1548.002, T1204.002, T1071.001, T1059.003, T1490, T1059.001, T1562.001, T1112, T1112, T1562.009, T1112, T1112"
111,"T1071.001, T1566.002, T1059.001, T1620, T1071.001, T1059.001, T1057, T1057, T1083, T1071.001, T1059.003, T1059.003, T1071.001, T1204.002, T1053.005, T1005, T1113, T1106, T1074.001, T1134, T1059.003, T1112, T1562.001, T1112, T1490, T1562.001, T1059.001, T1562.001, T1112"
